count viral_genome
     46 NC_049359.1
     46 NC_021072.1
     46 NC_015225.1
     45 NC_062780.1
     45 NC_049954.1
     45 NC_049401.1
     45 NC_048844.1
     45 NC_042028.1
     45 NC_021853.1
     45 NC_002486.1
     44 NC_055913.1
     44 NC_055850.1
     44 NC_055800.1
     44 NC_055794.1
     44 NC_049376.1
     44 NC_049374.1
     44 NC_049361.1
     43 NC_049949.1
     43 NC_049467.1
     43 NC_019723.1
     42 NC_048839.1
     42 NC_031935.1
     42 NC_031077.1
     42 NC_030230.1
     42 NC_025217.1
     42 NC_004615.1
     41 NC_055882.1
     41 NC_049947.1
     41 NC_049485.1
     41 NC_031242.1
     41 NC_031235.1
     41 NC_029025.1
     41 NC_023696.1
     41 NC_021348.1
     41 NC_002703.1
     40 NC_048849.1
     40 NC_023500.1
     40 NC_019711.1
     40 NC_011046.1
     40 NC_010811.2
     39 NC_054975.1
     39 NC_049849.1
     39 NC_034440.1
     39 NC_025470.1
     39 NC_025436.1
     39 NC_023725.1
     39 NC_023719.1
     38 NC_049402.1
     38 NC_042116.1
     38 NC_041878.1
     38 NC_021863.1
     38 NC_008363.1
     38 NC_001317.1
     37 NC_049426.1
     37 NC_049425.1
     37 NC_049397.1
     37 NC_048836.1
     37 NC_048828.1
     37 NC_048214.1
     37 NC_011357.1
     37 NC_008689.1
     37 NC_008370.1
     36 NC_031029.1
     36 NC_030936.1
     36 NC_030901.1
     36 NC_019516.1
     36 NC_004066.1
     35 NC_055904.1
     35 NC_055899.1
     35 NC_055895.1
     35 NC_054952.1
     35 NC_049952.1
     35 NC_048840.1
     35 NC_048802.1
     35 NC_048047.1
     35 NC_030696.1
     35 NC_010945.1
     35 NC_001900.2
     35 NC_001716.2
     34 NC_062736.1
     34 NC_049405.1
     34 NC_027364.1
     34 NC_026928.1
     34 NC_011273.1
     33 NC_054793.1
     33 NC_049950.1
     33 NC_049343.1
     33 NC_048835.1
     33 NC_047861.1
     33 NC_042328.1
     33 NC_017973.1
     33 NC_001335.1
     32 NC_049948.1
     32 NC_049946.1
     32 NC_025447.1
     32 NC_015282.1
     32 NC_007060.1
     32 NC_002747.1
     31 NC_054393.1
     31 NC_048832.1
     31 NC_048176.1
     31 NC_041917.1
     31 NC_029010.1
     31 NC_004775.2
     30 NC_054442.1
     30 NC_054441.1
     30 NC_041894.1
     30 NC_041892.1
     30 NC_041890.1
     30 NC_041848.1
     30 NC_031102.1
     30 NC_023731.1
     30 NC_023705.1
     30 NC_012788.1
     30 NC_009993.2
     30 NC_008202.2
     29 NC_054980.1
     29 NC_054814.1
     29 NC_054772.1
     29 NC_054440.1
     29 NC_054439.1
     29 NC_054433.1
     29 NC_049942.1
     29 NC_042310.1
     29 NC_042086.1
     29 NC_042058.1
     29 NC_041895.1
     29 NC_041891.1
     29 NC_031279.1
     29 NC_029018.2
     29 NC_028798.1
     29 NC_028757.1
     29 NC_022750.1
     29 NC_021801.1
     29 NC_021338.1
     29 NC_021318.1
     28 NC_054815.1
     28 NC_054812.1
     28 NC_054811.1
     28 NC_054809.1
     28 NC_054807.1
     28 NC_054796.1
     28 NC_054795.1
     28 NC_054784.1
     28 NC_054773.1
     28 NC_054771.1
     28 NC_054761.1
     28 NC_054760.1
     28 NC_054759.1
     28 NC_049457.1
     28 NC_042311.1
     28 NC_042036.1
     28 NC_031263.1
     28 NC_029043.2
     28 NC_028943.1
     28 NC_028877.1
     28 NC_028852.1
     28 NC_028794.1
     28 NC_024148.1
     28 NC_024141.1
     28 NC_023745.1
     28 NC_023577.1
     28 NC_023562.1
     28 NC_022058.1
     28 NC_021857.1
     28 NC_021535.1
     28 NC_011023.1
     28 NC_008203.1
     28 NC_005822.1
     27 NC_051624.1
     27 NC_051617.1
     27 NC_049461.1
     27 NC_042348.1
     27 NC_028834.1
     27 NC_028768.1
     27 NC_020878.1
     27 NC_007804.2
     27 NC_005344.1
     27 NC_005056.1
     26 NC_051625.1
     26 NC_051615.1
     26 NC_042031.1
     26 NC_014458.1
     26 NC_008296.2
     26 NC_001609.1
     25 NC_055877.1
     25 NC_031040.1
     25 NC_031013.1
     25 NC_028896.1
     25 NC_019408.1
     24 NC_055844.1
     24 NC_055801.1
     24 NC_049924.1
     24 NC_049919.1
     24 NC_049390.1
     24 NC_049387.1
     24 NC_019407.1
     24 NC_007605.1
     24 NC_004746.1
     24 NC_001895.1
     23 NC_049389.1
     23 NC_049386.1
     23 NC_048838.1
     23 NC_048656.1
     23 NC_042105.1
     23 NC_027132.1
     23 NC_019411.1
     23 NC_019410.1
     23 NC_019405.1
     23 NC_009334.1
     23 NC_004302.1
     23 AC_000011.1
     22 NC_049385.1
     22 NC_048841.1
     22 NC_019445.1
     22 NC_016765.1
     22 NC_004745.1
     21 NC_054721.1
     21 NC_048873.1
     21 NC_048807.1
     21 NC_048741.1
     21 NC_041994.1
     21 NC_041993.1
     21 NC_023714.1
     21 NC_011272.1
     21 NC_008207.1
     20 NC_055845.1
     20 NC_055761.1
     20 NC_054813.1
     20 NC_054810.1
     20 NC_054808.1
     20 NC_054805.1
     20 NC_049388.1
     20 NC_048045.1
     20 NC_023707.1
     20 NC_019716.1
     20 NC_006577.2
     20 NC_002669.1
     19 NC_055902.1
     19 NC_048872.1
     19 NC_048871.1
     19 NC_048869.1
     19 NC_048867.1
     19 NC_048866.1
     19 NC_048819.1
     19 NC_048811.1
     19 NC_048809.1
     19 NC_048760.1
     19 NC_048203.1
     19 NC_048149.1
     19 NC_048145.1
     19 NC_048110.1
     19 NC_048089.1
     19 NC_048012.1
     19 NC_048011.1
     19 NC_048010.1
     19 NC_048007.1
     19 NC_048006.1
     19 NC_048005.1
     19 NC_047999.1
     19 NC_047884.1
     19 NC_042029.1
     19 NC_031933.1
     19 NC_031902.1
     19 NC_031064.1
     19 NC_031017.1
     19 NC_028869.1
     19 NC_027297.1
     19 NC_023555.1
     19 NC_019488.1
     19 NC_008583.1
     19 NC_004813.1
     18 NC_061421.1
     18 NC_049945.1
     18 NC_031940.1
     18 NC_021774.1
     18 NC_015287.1
     18 NC_001825.1
     17 NC_055846.1
     17 NC_055041.1
     17 NC_050154.1
     17 NC_047838.1
     17 NC_047796.1
     17 NC_042114.1
     17 NC_028986.1
     17 NC_028913.1
     17 NC_012784.1
     17 NC_011344.1
     17 NC_008721.2
     17 NC_007054.1
     17 NC_005356.1
     17 NC_004333.2
     16 NC_055915.1
     16 NC_048770.1
     16 NC_041997.1
     16 NC_041970.1
     16 NC_031922.1
     16 NC_020859.1
     16 NC_020851.1
     16 NC_016158.1
     16 NC_007061.1
     16 NC_002668.1
     15 NC_049944.1
     15 NC_049922.1
     15 NC_049857.1
     15 NC_048636.1
     15 NC_042016.1
     15 NC_030953.1
     15 NC_027399.1
     15 NC_027339.1
     15 NC_025460.1
     15 NC_024125.2
     15 NC_021299.1
     15 NC_016571.1
     15 NC_015290.1
     15 NC_015289.1
     15 NC_014649.1
     15 NC_013597.1
     15 NC_007048.1
     15 NC_004462.2
     15 NC_000866.4
     14 NC_055880.1
     14 NC_054918.1
     14 NC_054915.1
     14 NC_054905.1
     14 NC_048189.1
     14 NC_048187.1
     14 NC_041889.1
     14 NC_027979.1
     14 NC_023582.1
     14 NC_020837.1
     14 NC_019526.1
     14 NC_013195.1
     14 NC_012635.1
     14 NC_008515.1
     14 NC_002484.2
     13 NC_054928.1
     13 NC_054921.1
     13 NC_054648.1
     13 NC_054461.1
     13 NC_049943.1
     13 NC_049809.1
     13 NC_049391.1
     13 NC_049344.1
     13 NC_042060.1
     13 NC_042037.1
     13 NC_031944.1
     13 NC_027402.1
     13 NC_026014.1
     13 NC_021534.1
     13 NC_021326.1
     13 NC_010808.1
     13 NC_009763.3
     13 NC_009514.1
     13 NC_007058.1
     13 NC_004629.1
     13 NC_004617.1
     13 NC_003157.5
     12 NC_055790.1
     12 NC_055723.1
     12 NC_055035.1
     12 NC_054930.1
     12 NC_054924.1
     12 NC_049925.1
     12 NC_049504.1
     12 NC_049444.1
     12 NC_049396.1
     12 NC_049341.1
     12 NC_048703.1
     12 NC_048191.1
     12 NC_048087.1
     12 NC_042090.1
     12 NC_042078.1
     12 NC_041935.1
     12 NC_031011.1
     12 NC_029009.1
     12 NC_027404.1
     12 NC_025449.1
     12 NC_024792.1
     12 NC_024355.1
     12 NC_023587.1
     12 NC_021536.1
     12 NC_019914.1
     12 NC_015286.1
     12 NC_011589.1
     12 NC_009526.1
     12 NC_008798.1
     12 NC_007049.1
     12 NC_006146.1
     12 NC_000924.1
     11 NC_055807.1
     11 NC_055772.1
     11 NC_055724.1
     11 NC_054976.1
     11 NC_054944.1
     11 NC_054943.1
     11 NC_054942.1
     11 NC_054939.1
     11 NC_054938.1
     11 NC_054937.1
     11 NC_054933.1
     11 NC_054931.1
     11 NC_054926.1
     11 NC_054925.1
     11 NC_054920.1
     11 NC_054919.1
     11 NC_054914.1
     11 NC_054911.1
     11 NC_054909.1
     11 NC_054908.1
     11 NC_054903.1
     11 NC_054900.1
     11 NC_049923.1
     11 NC_048046.1
     11 NC_048034.1
     11 NC_048026.1
     11 NC_047977.1
     11 NC_047906.1
     11 NC_042130.1
     11 NC_042087.1
     11 NC_042077.1
     11 NC_042039.1
     11 NC_042013.1
     11 NC_031927.1
     11 NC_031085.1
     11 NC_031047.1
     11 NC_031037.1
     11 NC_031027.1
     11 NC_031024.1
     11 NC_028927.1
     11 NC_028669.1
     11 NC_028448.1
     11 NC_027983.1
     11 NC_027353.1
     11 NC_025830.1
     11 NC_025456.1
     11 NC_025455.1
     11 NC_025448.1
     11 NC_025419.1
     11 NC_020104.1
     11 NC_019406.1
     11 NC_012638.1
     11 NC_011216.1
     11 NC_007050.1
     11 NC_007021.1
     11 NC_006883.2
     11 NC_005262.3
     11 NC_004740.1
     11 NC_002667.1
     10 NC_061418.1
     10 NC_055910.1
     10 NC_055780.1
     10 NC_055768.1
     10 NC_055741.1
     10 NC_055718.1
     10 NC_055709.1
     10 NC_054977.1
     10 NC_054941.1
     10 NC_054935.2
     10 NC_054929.1
     10 NC_054910.1
     10 NC_054901.1
     10 NC_054714.1
     10 NC_049512.1
     10 NC_049496.1
     10 NC_049440.1
     10 NC_049439.1
     10 NC_049433.1
     10 NC_049378.1
     10 NC_048634.1
     10 NC_048186.1
     10 NC_047854.1
     10 NC_047814.1
     10 NC_047767.1
     10 NC_042129.1
     10 NC_042061.1
     10 NC_041919.1
     10 NC_034382.1
     10 NC_031900.1
     10 NC_031030.1
     10 NC_030933.1
     10 NC_028962.1
     10 NC_028864.1
     10 NC_028780.1
     10 NC_028775.1
     10 NC_028113.1
     10 NC_026926.1
     10 NC_025446.1
     10 NC_024790.1
     10 NC_023499.1
     10 NC_022343.1
     10 NC_022090.1
     10 NC_020877.1
     10 NC_019721.1
     10 NC_019530.1
     10 NC_019505.1
     10 NC_019418.1
     10 NC_015296.1
     10 NC_013668.3
     10 NC_011356.1
     10 NC_009235.2
     10 NC_008617.1
     10 NC_007047.1
     10 NC_006820.1
     10 NC_004914.3
     10 NC_004585.1
      9 NC_056724.1
      9 NC_055921.1
      9 NC_055713.1
      9 NC_054995.1
      9 NC_049926.1
      9 NC_049810.1
      9 NC_048724.1
      9 NC_048723.1
      9 NC_048650.1
      9 NC_048080.1
      9 NC_048075.1
      9 NC_048074.1
      9 NC_047900.1
      9 NC_042044.1
      9 NC_031087.1
      9 NC_030652.1
      9 NC_023153.1
      9 NC_019769.1
      9 NC_019720.1
      9 NC_019714.1
      9 NC_019706.1
      9 NC_018855.1
      9 NC_016160.1
      9 NC_015284.1
      9 NC_015265.1
      9 NC_015253.1
      9 NC_014460.1
      9 NC_011614.1
      9 NC_011142.1
      9 NC_007059.1
      9 NC_006949.1
      9 NC_002796.1
      8 NC_055748.1
      8 NC_055019.1
      8 NC_055018.1
      8 NC_055014.1
      8 NC_055003.1
      8 NC_054998.1
      8 NC_054966.1
      8 NC_054934.1
      8 NC_054923.1
      8 NC_054922.1
      8 NC_054917.1
      8 NC_054916.1
      8 NC_054912.1
      8 NC_054904.1
      8 NC_054902.1
      8 NC_054770.1
      8 NC_053516.1
      8 NC_049811.1
      8 NC_049502.1
      8 NC_049497.1
      8 NC_049494.1
      8 NC_049455.1
      8 NC_049437.1
      8 NC_048773.1
      8 NC_048755.1
      8 NC_048736.1
      8 NC_048732.1
      8 NC_048730.1
      8 NC_048721.1
      8 NC_048624.1
      8 NC_048188.1
      8 NC_048083.1
      8 NC_048040.1
      8 NC_047891.1
      8 NC_047753.1
      8 NC_042084.1
      8 NC_042040.1
      8 NC_041881.1
      8 NC_033774.1
      8 NC_031107.2
      8 NC_028955.1
      8 NC_028917.1
      8 NC_028763.1
      8 NC_028686.1
      8 NC_027349.1
      8 NC_027344.1
      8 NC_026607.2
      8 NC_026440.1
      8 NC_025829.1
      8 NC_024794.1
      8 NC_023704.1
      8 NC_021861.1
      8 NC_021858.1
      8 NC_021320.1
      8 NC_020864.1
      8 NC_020489.1
      8 NC_019932.1
      8 NC_019921.1
      8 NC_019710.1
      8 NC_019705.1
      8 NC_019529.1
      8 NC_019503.1
      8 NC_019452.1
      8 NC_019399.1
      8 NC_018279.1
      8 NC_017825.1
      8 NC_016762.1
      8 NC_016565.1
      8 NC_015279.1
      8 NC_015274.1
      8 NC_014900.1
      8 NC_011976.1
      8 NC_010393.1
      8 NC_010237.1
      8 NC_005887.1
      8 NC_005841.1
      8 NC_004827.1
      8 NC_004586.1
      8 NC_003444.1
      8 NC_003288.1
      8 NC_002666.1
      8 NC_001706.1
      8 NC_001604.1
      8 NC_000902.1
      7 NC_055781.1
      7 NC_055017.1
      7 NC_055005.1
      7 NC_054993.1
      7 NC_054982.1
      7 NC_054973.1
      7 NC_054945.1
      7 NC_054936.1
      7 NC_054932.1
      7 NC_054927.1
      7 NC_053506.1
      7 NC_051597.1
      7 NC_051593.1
      7 NC_049920.1
      7 NC_049812.1
      7 NC_049510.1
      7 NC_048722.1
      7 NC_048163.1
      7 NC_048134.1
      7 NC_048082.1
      7 NC_048049.1
      7 NC_048004.1
      7 NC_047942.1
      7 NC_047939.1
      7 NC_042327.1
      7 NC_042313.1
      7 NC_042056.1
      7 NC_041898.1
      7 NC_031127.1
      7 NC_031120.1
      7 NC_031108.1
      7 NC_031103.1
      7 NC_031046.1
      7 NC_031019.1
      7 NC_028829.1
      7 NC_028820.1
      7 NC_028683.1
      7 NC_028666.1
      7 NC_027387.1
      7 NC_026597.1
      7 NC_025824.1
      7 NC_024697.1
      7 NC_023579.1
      7 NC_021324.1
      7 NC_019708.1
      7 NC_017985.1
      7 NC_016072.1
      7 NC_015457.1
      7 NC_014461.1
      7 NC_007062.1
      7 NC_004913.3
      7 NC_004777.1
      7 NC_004313.1
      7 NC_002371.2
      7 NC_001531.1
      6 NC_055918.1
      6 NC_055887.1
      6 NC_055842.1
      6 NC_055831.1
      6 NC_055823.1
      6 NC_055715.1
      6 NC_055142.1
      6 NC_055049.1
      6 NC_055039.1
      6 NC_055031.1
      6 NC_055009.1
      6 NC_054981.1
      6 NC_054959.1
      6 NC_054460.1
      6 NC_053509.1
      6 NC_052459.1
      6 NC_052457.1
      6 NC_052455.1
      6 NC_052440.1
      6 NC_052439.1
      6 NC_052435.1
      6 NC_052433.1
      6 NC_052412.1
      6 NC_051619.1
      6 NC_051607.1
      6 NC_051596.1
      6 NC_051595.1
      6 NC_051594.1
      6 NC_049921.1
      6 NC_049511.1
      6 NC_049491.1
      6 NC_049463.1
      6 NC_049435.1
      6 NC_049429.1
      6 NC_049395.1
      6 NC_048790.1
      6 NC_048787.1
      6 NC_048657.1
      6 NC_048164.1
      6 NC_048099.1
      6 NC_048079.1
      6 NC_048078.1
      6 NC_048069.1
      6 NC_048039.1
      6 NC_048018.1
      6 NC_048015.1
      6 NC_047974.1
      6 NC_047940.1
      6 NC_047923.1
      6 NC_047895.1
      6 NC_047734.1
      6 NC_047717.1
      6 NC_047716.1
      6 NC_043058.1
      6 NC_042085.1
      6 NC_042047.1
      6 NC_042002.1
      6 NC_041876.1
      6 NC_041872.1
      6 NC_037666.1
      6 NC_031946.1
      6 NC_031936.1
      6 NC_031931.1
      6 NC_031914.1
      6 NC_031912.1
      6 NC_031904.1
      6 NC_031114.1
      6 NC_031035.1
      6 NC_030942.1
      6 NC_030919.1
      6 NC_028947.1
      6 NC_028924.1
      6 NC_028874.1
      6 NC_028784.1
      6 NC_028657.1
      6 NC_027984.1
      6 NC_024366.1
      6 NC_024136.1
      6 NC_024121.1
      6 NC_023724.1
      6 NC_023584.1
      6 NC_023568.1
      6 NC_022266.1
      6 NC_021559.1
      6 NC_021530.1
      6 NC_021323.1
      6 NC_021190.1
      6 NC_019927.1
      6 NC_019923.1
      6 NC_019502.1
      6 NC_019416.1
      6 NC_015283.1
      6 NC_012697.1
      6 NC_011045.1
      6 NC_009603.1
      6 NC_007057.1
      6 NC_005083.2
      6 NC_004928.1
      6 NC_004679.1
      6 NC_004678.1
      6 NC_004616.1
      6 NC_004348.1
      6 NC_003287.2
      6 NC_002671.1
      5 NC_062758.1
      5 NC_062755.1
      5 NC_062746.1
      5 NC_055919.1
      5 NC_055852.1
      5 NC_055832.1
      5 NC_055813.1
      5 NC_055008.1
      5 NC_055004.1
      5 NC_054792.1
      5 NC_054790.1
      5 NC_054782.1
      5 NC_054780.1
      5 NC_054655.1
      5 NC_054647.1
      5 NC_054645.1
      5 NC_053508.1
      5 NC_053174.1
      5 NC_053173.1
      5 NC_051627.1
      5 NC_051606.1
      5 NC_050143.1
      5 NC_049490.1
      5 NC_048791.1
      5 NC_048789.1
      5 NC_048745.1
      5 NC_048710.1
      5 NC_048662.1
      5 NC_048185.1
      5 NC_048169.1
      5 NC_048107.1
      5 NC_047816.1
      5 NC_047715.1
      5 NC_044940.1
      5 NC_042346.1
      5 NC_042337.1
      5 NC_042334.1
      5 NC_042333.1
      5 NC_042330.1
      5 NC_042318.1
      5 NC_042312.1
      5 NC_042309.1
      5 NC_042081.1
      5 NC_041984.1
      5 NC_041902.1
      5 NC_041871.1
      5 NC_031257.1
      5 NC_031247.1
      5 NC_031124.1
      5 NC_030909.1
      5 NC_029077.1
      5 NC_028939.1
      5 NC_028878.1
      5 NC_028802.1
      5 NC_028745.1
      5 NC_028697.1
      5 NC_028491.1
      5 NC_027925.1
      5 NC_027398.1
      5 NC_026611.1
      5 NC_026600.1
      5 NC_026591.1
      5 NC_026016.1
      5 NC_025430.1
      5 NC_024134.1
      5 NC_023713.1
      5 NC_023639.1
      5 NC_023612.1
      5 NC_023588.1
      5 NC_023564.1
      5 NC_022985.1
      5 NC_022977.1
      5 NC_022973.1
      5 NC_022965.1
      5 NC_022089.1
      5 NC_021342.2
      5 NC_021307.1
      5 NC_020082.1
      5 NC_019767.1
      5 NC_019719.1
      5 NC_019545.1
      5 NC_019501.1
      5 NC_017968.1
      5 NC_015584.1
      5 NC_015288.1
      5 NC_015285.1
      5 NC_013059.1
      5 NC_012696.1
      5 NC_011810.1
      5 NC_011041.1
      5 NC_010576.1
      5 NC_010275.2
      5 NC_009819.1
      5 NC_009127.1
      5 NC_008799.1
      5 NC_007810.1
      5 NC_006884.2
      5 NC_006557.1
      5 NC_004927.2
      5 NC_003378.1
      5 NC_003345.2
      5 NC_002167.1
      5 NC_000896.1
      4 NC_062743.1
      4 NC_060137.1
      4 NC_060136.1
      4 NC_060135.1
      4 NC_060134.1
      4 NC_055916.1
      4 NC_055863.1
      4 NC_055853.1
      4 NC_055792.1
      4 NC_055745.1
      4 NC_055733.1
      4 NC_055728.1
      4 NC_055166.1
      4 NC_055037.1
      4 NC_055027.1
      4 NC_055016.1
      4 NC_055012.1
      4 NC_055002.1
      4 NC_055000.1
      4 NC_054999.1
      4 NC_054979.1
      4 NC_054978.1
      4 NC_054907.1
      4 NC_054906.1
      4 NC_053512.1
      4 NC_050153.1
      4 NC_049493.1
      4 NC_049492.1
      4 NC_049479.1
      4 NC_049477.1
      4 NC_049452.1
      4 NC_049441.1
      4 NC_049438.1
      4 NC_049382.1
      4 NC_048752.1
      4 NC_048742.1
      4 NC_048738.1
      4 NC_048713.1
      4 NC_048711.1
      4 NC_048647.1
      4 NC_048644.1
      4 NC_048055.1
      4 NC_048021.1
      4 NC_047911.1
      4 NC_047855.1
      4 NC_047775.1
      4 NC_042098.1
      4 NC_042008.1
      4 NC_041974.1
      4 NC_041973.1
      4 NC_041972.1
      4 NC_031095.1
      4 NC_031074.1
      4 NC_029061.1
      4 NC_029046.1
      4 NC_029032.1
      4 NC_028936.1
      4 NC_028911.1
      4 NC_028700.1
      4 NC_028685.1
      4 NC_028659.1
      4 NC_028656.1
      4 NC_027368.1
      4 NC_027341.1
      4 NC_027332.1
      4 NC_026924.1
      4 NC_025434.1
      4 NC_024365.1
      4 NC_023717.1
      4 NC_022757.1
      4 NC_022756.1
      4 NC_022747.1
      4 NC_022071.1
      4 NC_021802.1
